State,Urban,Rural
Andaman and Nicobar Islands,3.4,5.1
Andhra Pradesh,0.7,3.5
Arunachal Pradesh,51.4,69.2
Assam,5.3,12.5
Bihar,7,7.3
Chandigarh,3,3.2
Chhattisgarh,7.5,8.1
Dadra and Nagar Haweli,2.1,2.5
Daman and Diu,1.9,5.5
Delhi,8.1,5.7
Goa,1.9,2.2
Gujarat,3.3,6.1
Haryana,5.6,2.6
Himachal Pradesh,1.4,1
Jharkhand,2.4,5.6
Karnataka,0,1.2
Kerala,1.7,3.5
Lakshadweep,6.1,8.6
Madhya Pradesh,3.3,4
Maharashtra,5.7,4.6
Manipur,16.8,20.5
Meghalaya,35.1,33.2
Mizoram,59.6,55.8
Nagaland,37.4,46.8
Odisha,5.3,6.4
Puducherry,4.3,2.7
Punjab,3,6.8
Rajasthan,0.7,4.7
Sikkim,26.7,21.4
Tamil Nadu,6.4,3.4
Telangana,5,5.5
Tripura,2.4,8.3
Uttar Pradesh,2.6,26.1
Uttarakhand,25.7,15.7
West Bengal,6.9,7.1
